"Binomial","MaxTemp_5Km","MinTemp_5Km","MaxPrecip_5Km","MinPrecip_5Km","MeanTemp_5Km","MeanPrecip_5Km"
"Acinonyx_jubatus",47.3279991149902,-8.34799957275391,398,0,23.0172939300537,358.55712890625
"Acomys_airensis",46.5599975585938,4.61599969863892,175,0,28.0125999450684,101.525917053223
"Acomys_cahirinus",46.8839988708496,-10.7399997711182,238,0,23.2984523773193,47.2428245544434
"Acomys_cineraceus",42.8920021057129,-1.01999998092651,464,0,25.4442939758301,767.429260253906
"Acomys_ignitus",34.2999992370605,9.57600021362305,361,0,23.6807842254639,723.651184082031
"Acomys_johannis",42.6839981079102,12.1640005111694,307,0,27.8975601196289,775.350524902344
"Acomys_kempi",40.7120018005371,8.17199993133545,528,0,26.5618934631348,443.435974121094
"Acomys_louisae",42.4000015258789,4.59600019454956,285,0,26.2539958953857,274.0107421875
"Acomys_mullah",42.4000015258789,6.64400005340576,204,0,26.6933460235596,283.055358886719
"Acomys_percivali",38.4000015258789,4.85599994659424,253,0,24.919750213623,650.465881347656
"Acomys_seurati",44.992000579834,-1.02799999713898,16,0,23.3296279907227,30.421630859375
"Acomys_spinosissimus",37.476001739502,1.79199993610382,308,0,21.0779056549072,836.399047851562
"Acomys_wilsoni",40.7120018005371,-8.61600017547607,637,0,24.6621627807617,586.927490234375
"Addax_nasomaculatus",43.1440010070801,9.14400005340576,43,0,27.0950527191162,52.892765045166
"Aepyceros_melampus",39.5800018310547,-8.61600017547607,760,0,22.037914276123,822.301818847656
"Aethomys_chrysophilus",39.5800018310547,-8.61600017547607,760,0,21.9869728088379,735.392395019531
"Aethomys_granti",NA,NA,NA,NA,NA,NA
"Aethomys_hindei",40.2599983215332,-8.61600017547607,637,0,24.4084815979004,1116.87390136719
"Aethomys_ineptus",35.5519981384277,-5.3439998626709,333,1,17.7465267181396,643.777221679688
"Aethomys_kaiseri",35.8240013122559,-8.61600017547607,760,0,21.7710304260254,1151.98522949219
"Aethomys_namaquensis",NA,NA,NA,NA,NA,NA
"Aethomys_nyikae",36.3040008544922,3.80800008773804,408,0,21.4251556396484,1245.20397949219
"Aethomys_silindensis",32.8639984130859,3.97200012207031,312,0,19.1402187347412,925.815673828125
"Aethomys_stannarius",40.4000015258789,11.6079998016357,340,0,26.01926612854,988.895080566406
"Alcelaphus_buselaphus",43.7999992370605,-8.61600017547607,803,0,23.2347450256348,920.734252929688
"Allactaga_tetradactyla",35.2200012207031,3.98799991607666,110,0,19.2448673248291,146.68635559082
"Allenopithecus_nigroviridis",33.0919990539551,17.7439994812012,263,29,24.9852638244629,1861.09436035156
"Allochrocebus_lhoesti",31.1319999694824,-0.331999987363815,290,8,22.9560432434082,1700.12377929688
"Allochrocebus_solatus",31.9400005340576,16.3039989471436,402,2,24.3855113983154,1795.72863769531
"Amblysomus_hottentotus",33.2200012207031,-6.13599967956543,230,6,16.696325302124,777.303405761719
"Amblysomus_marleyi",32.431999206543,9.64400005340576,137,8,21.2608795166016,688.31591796875
"Amblysomus_robustus",29.8159999847412,0.643999993801117,198,6,15.1321315765381,873.4755859375
"Amblysomus_septentrionalis",30.6919994354248,-3.11999988555908,216,5,15.4459199905396,801.800964355469
"Ammodillus_imbellis",38.6879997253418,7.59600019454956,101,0,26.7855453491211,240.380096435547
"Ammodorcas_clarkei",37.2999992370605,15.2639999389648,123,0,26.7032032012939,271.402252197266
"Ammotragus_lervia",46.0279998779297,-10.7399997711182,147,0,22.2645702362061,79.7036056518555
"Anomalurus_beecrofti",39.3199996948242,4.2960000038147,1115,0,24.8180999755859,1752.35070800781
"Anomalurus_derbianus",38.3120002746582,-0.331999987363815,904,0,23.4025955200195,1499.61743164062
"Aonyx_capensis",44,-8.61600017547607,1115,0,23.5843276977539,972.991577148438
"Aonyx_congicus",35.484001159668,-0.331999987363815,617,0,24.0921630859375,1668.42712402344
"Arvicanthis_abyssinicus",40.0359992980957,-4.76800012588501,464,0,19.2627983093262,1038.45874023438
"Arvicanthis_ansorgei",42.9440002441406,10.460000038147,1115,0,27.1673240661621,1128.41711425781
"Arvicanthis_blicki",31.2280006408691,-2.75600004196167,255,9,13.3513469696045,1100.49279785156
"Arvicanthis_nairobae",33.9879989624023,-8.61600017547607,498,0,20.6241550445557,770.105346679688
"Arvicanthis_neumanni",40.7560005187988,-8.61600017547607,498,0,24.1312808990479,543.836303710938
"Arvicanthis_niloticus",44.8359985351562,-4.76800012588501,464,0,25.6133060455322,724.557189941406
"Arvicanthis_rufinus",40.4720001220703,7.56400012969971,1019,0,26.3350868225098,1485.34509277344
"Asellia_patrizii",40.8359985351562,-2.51600003242493,349,0,22.4329986572266,610.641235351562
"Atelerix_albiventris",43.7999992370605,-8.61600017547607,1115,0,25.939151763916,863.499084472656
"Atelerix_algirus",40.923999786377,-10.7399997711182,276,0,16.7430419921875,368.311096191406
"Atelerix_frontalis",37.6959991455078,-5.23199987411499,259,0,19.5426845550537,480.076446533203
"Atelerix_sclateri",42.0749969482422,4.59600019454956,152,0,25.4853057861328,193.715286254883
"Atherurus_africanus",40.2519989013672,-0.331999987363815,1115,0,24.5380325317383,1686.31970214844
"Atilax_paludinosus",43.7999992370605,-8.61600017547607,1115,0,23.5829582214355,1166.02075195312
"Atlantoxerus_getulus",43.8839988708496,-10.7399997711182,94,0,17.2963562011719,210.833343505859
"Bathyergus_janetta",38.4759979248047,5.55600023269653,30,1,18.5278759002686,103.779266357422
"Bdeogale_crassicauda",39.5800018310547,-1.00800001621246,755,0,23.0375423431396,989.708068847656
