"Binomial","GeogRangeIUCN","HetHab_VarEVI_1Km","HetHab_VarEVI_5Km","HetHab_VarEVI_50Km","HetTopo_Rugged_1Km","HetTopo_Rugged_5Km","HetTopo_Rugged_50Km","HumPopDen_1Km","HumPopDen_5Km","HumPopDen_50Km","MidLat","PctPAOverlap","PrimaryBiome"
"Acinonyx_jubatus",2943299.8814758,376.135162353516,376.635375976562,1028.94567871094,5.67203044891357,5.6715784072876,5.73445844650269,8.96395683288574,9.06476593017578,10.8185977935791,-22.1147764540974,0.152655197080664,13
"Acomys_airensis",1825638.34217545,314.130065917969,314.188171386719,880.712585449219,2.85700631141663,2.85715579986572,2.85786557197571,4.14723968505859,4.14922046661377,4.26610469818115,18.4869749793357,0.0930566650694894,13
"Acomys_cahirinus",4017285.72644751,308.935424804688,311.544799804688,1130.95007324219,5.4852614402771,5.48224306106567,5.42161321640015,30.9419765472412,31.1252326965332,31.5491981506348,24.4432853687211,0.00491634119710483,13
"Acomys_cineraceus",1049545.70371663,523.024108886719,524.858276367188,1331.88122558594,8.23170948028564,8.23041820526123,8.16626262664795,65.5934600830078,65.6399917602539,65.1345672607422,10.1831249802934,0.0485625817488306,7
"Acomys_ignitus",105257.336313679,492.798278808594,493.457611083984,1260.45764160156,5.88686895370483,5.89342880249023,6.20976066589355,117.087997436523,117.550010681152,120.619438171387,-2.69853774404503,0.237940319680068,7
"Acomys_johannis",426085.265244187,630.503967285156,630.754028320312,1216.375,2.95758628845215,2.95737314224243,2.96995329856873,81.5882263183594,81.5946197509766,81.7206344604492,12.1745281395228,0.144374201836934,7
"Acomys_kempi",569643.251878731,534.019897460938,535.835693359375,1396.90490722656,3.41308689117432,3.41040182113647,3.46550321578979,23.4927005767822,23.541841506958,25.0846538543701,1.32800778059027,0.0352675406613444,7
"Acomys_louisae",688440.046256699,447.322113037109,448.446258544922,1153.77807617188,4.39302206039429,4.37549066543579,4.12811517715454,17.2346286773682,17.272123336792,18.7985591888428,6.2063741377351,0,7
"Acomys_mullah",160420.649750622,774.840393066406,779.370300292969,2505.30297851562,10.2358722686768,10.2163524627686,10.0715503692627,27.4492282867432,27.5541763305664,32.2950630187988,11.1678337438964,0.0687787362742877,13
"Acomys_percivali",222958.227232091,634.013122558594,640.16650390625,2004.55090332031,10.0262403488159,10.0321893692017,10.1199197769165,48.4413871765137,48.9199028015137,50.5212631225586,3.11738309480863,0.0490083590717238,7
"Acomys_seurati",298887.042140117,333.213470458984,333.213226318359,922.957214355469,9.82365417480469,9.82322788238525,9.71740245819092,0.39876914024353,0.398747742176056,0.397761076688766,24.3477437039769,0,13
"Acomys_spinosissimus",101250.459245567,477.134796142578,477.42724609375,978.249877929688,10.8295602798462,10.8225612640381,10.7808151245117,56.915699005127,56.9165382385254,55.3621292114258,-17.4039708616592,0.00285066361922354,7
"Acomys_subspinosus",94357.4615793425,938.290893554688,940.900207519531,2629.6572265625,20.880687713623,20.801685333252,19.3538093566895,77.1635437011719,76.949821472168,75.7128143310547,-33.3488655940925,0,12
"Acomys_wilsoni",1372812.72981622,529.323364257812,531.774108886719,1399.99230957031,6.59848642349243,6.59650707244873,6.60123252868652,53.3040046691895,53.6315612792969,54.7483177185059,0.690670250445207,0.0641927041292917,7
"Addax_nasomaculatus",33784.5177452597,121.87068939209,121.763488769531,286.642822265625,5.46517276763916,5.46538019180298,5.44485092163086,0.743173956871033,0.743215143680573,0.739157676696777,16.5194867389237,0.637103315337191,13
"Aepyceros_melampus",3359993.74114614,448.27587890625,451.904754638672,1011.91107177734,7.4371337890625,7.43551826477051,7.40859174728394,50.5181007385254,51.0567054748535,51.6711578369141,-13.724441527087,0.108587533361488,7
"Aethomys_bocagei",253323.286725982,414.861236572266,416.840118408203,921.371337890625,12.0400190353394,12.026782989502,11.9060230255127,98.6694869995117,99.3209838867188,98.8933639526367,-9.5440943412936,0.0405951098306085,7
"Aethomys_chrysophilus",4154330.27913669,415.508056640625,418.558654785156,933.847534179688,5.99821853637695,5.99694776535034,5.97966051101685,30.9142284393311,31.2411022186279,31.7827014923096,-16.7555360062527,0.0968096240354235,7
"Aethomys_granti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethomys_hindei",2482352.20805677,372.169036865234,376.287780761719,911.122741699219,6.70694971084595,6.70663785934448,6.69952249526978,59.1695327758789,61.9525299072266,62.3512840270996,4.15074739089269,0.101144146471938,7
"Aethomys_ineptus",592259.543605911,633.180358886719,634.496948242188,1426.28576660156,9.43735313415527,9.43115997314453,9.43289566040039,83.593147277832,83.762825012207,82.9228591918945,-27.2219865636513,0.00119950344965746,10
"Aethomys_kaiseri",1693329.17536045,366.680999755859,372.625366210938,815.559997558594,9.06016826629639,9.05952739715576,9.05613422393799,67.8997497558594,71.1334686279297,71.1985855102539,-7.28124174818984,0.0972470325798029,7
"Aethomys_namaquensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethomys_nyikae",897965.405906151,356.443939208984,359.073364257812,783.639038085938,6.1345591545105,6.13463926315308,6.13545417785645,43.2497177124023,43.8815574645996,43.5117683410645,-10.6497879110382,0.104345644211198,7
"Aethomys_silindensis",19129.1179453283,517.853454589844,517.844970703125,1226.02282714844,26.2740478515625,26.2455883026123,22.8126544952393,63.6246681213379,63.504451751709,60.2699432373047,-19.5118175439939,0.0266420806992048,7
