"Binomial","MeanTemp_1Km","MeanPrecip_1Km","TempSeas_1Km","PrecipSeas_1Km","MeanTemp_5Km","MeanPrecip_5Km","TempSeas_5Km","PrecipSeas_5Km","MeanTemp_50Km","TempSeas_50Km","MeanPrecip_50Km","PrecipSeas_50Km"
"Acinonyx_jubatus",23.0174293518066,358.570343017578,456.175537109375,89.7695922851562,23.0172939300537,358.55712890625,456.159881591797,89.7750778198242,23.0057735443115,456.064392089844,359.654327392578,89.7650985717773
"Acomys_airensis",28.012622833252,101.533645629883,545.483337402344,126.055618286133,28.0125999450684,101.525917053223,545.47802734375,126.059906005859,28.0110015869141,545.398071289062,101.767082214355,126.032936096191
"Acomys_cahirinus",23.2984657287598,47.2522583007812,608.513244628906,63.1695709228516,23.2984523773193,47.2428245544434,608.462646484375,63.1683807373047,23.3012180328369,608.326782226562,47.3378219604492,63.2156639099121
"Acomys_cineraceus",25.4441356658936,767.456237792969,197.585067749023,107.695777893066,25.4442939758301,767.429260253906,197.547424316406,107.695434570312,25.4563121795654,197.61604309082,766.710754394531,107.715957641602
"Acomys_ignitus",23.6802215576172,723.461669921875,142.033660888672,79.2492294311523,23.6807842254639,723.651184082031,142.008102416992,79.215446472168,23.6460609436035,142.002349853516,728.396118164062,79.3293838500977
"Acomys_johannis",27.8976078033447,775.375366210938,232.275405883789,117.298942565918,27.8975601196289,775.350524902344,232.25798034668,117.30103302002,27.900146484375,232.367385864258,775.188232421875,117.29451751709
"Acomys_kempi",26.5622234344482,443.373718261719,119.043014526367,98.9950790405273,26.5618934631348,443.435974121094,119.014610290527,98.9794845581055,26.527738571167,118.96443939209,445.647277832031,98.9248657226562
"Acomys_louisae",26.2527332305908,274.09228515625,159.971954345703,102.659118652344,26.2539958953857,274.0107421875,159.941970825195,102.650497436523,26.2598266601562,159.795913696289,273.669494628906,102.691345214844
"Acomys_mullah",26.6907272338867,283.242919921875,310.024505615234,65.2931442260742,26.6933460235596,283.055358886719,310.054962158203,65.2767562866211,26.6325054168701,308.080169677734,287.143310546875,65.3274765014648
"Acomys_percivali",24.9206562042236,650.421508789062,90.4277114868164,62.1047592163086,24.919750213623,650.465881347656,90.3917922973633,62.0756683349609,24.8466949462891,90.4913177490234,656.064147949219,62.0542449951172
