"Binomial","HumPopDen_5Km","PctPAOverlap","MidLat","PrimaryBiome","CoefVarEVI_5Km","GeogRangeIUCN"
"Acinonyx_jubatus",9.06476593017578,0.152655197080664,-22.1147764540974,13,2218969,2943299.8814758
"Acomys_airensis",4.14922046661377,0.0930566650694894,18.4869749793357,13,74390.71875,1825638.34217545
"Acomys_cahirinus",31.1252326965332,0.00491634119710483,24.4432853687211,13,7439549.5,4017285.72644751
"Acomys_cineraceus",65.6399917602539,0.0485625817488306,10.1831249802934,7,9692909,1049545.70371663
"Acomys_ignitus",117.550010681152,0.237940319680068,-2.69853774404503,7,4791111,105257.336313679
"Acomys_johannis",81.5946197509766,0.144374201836934,12.1745281395228,7,1054778.375,426085.265244187
"Acomys_kempi",23.541841506958,0.0352675406613444,1.32800778059027,7,13245697,569643.251878731
"Acomys_louisae",17.272123336792,0,6.2063741377351,7,7890451.5,688440.046256699
"Acomys_mullah",27.5541763305664,0.0687787362742877,11.1678337438964,13,25765854,160420.649750622
"Acomys_percivali",48.9199028015137,0.0490083590717238,3.11738309480863,7,76231056,222958.227232091
"Acomys_seurati",0.398747742176056,0,24.3477437039769,13,633.565368652344,298887.042140117
"Acomys_spinosissimus",56.9165382385254,0.00285066361922354,-17.4039708616592,7,433746.34375,101250.459245567
"Acomys_wilsoni",53.6315612792969,0.0641927041292917,0.690670250445207,7,20855264,1372812.72981622
"Addax_nasomaculatus",0.743215143680573,0.637103315337191,16.5194867389237,13,206.897109985352,33784.5177452597
"Aepyceros_melampus",51.0567054748535,0.108587533361488,-13.724441527087,7,44335520,3359993.74114614
"Aethomys_chrysophilus",31.2411022186279,0.0968096240354235,-16.7555360062527,7,35461296,4154330.27913669
"Aethomys_granti",NA,NA,NA,NA,NA,NA
"Aethomys_hindei",61.9525299072266,0.101144146471938,4.15074739089269,7,74637504,2482352.20805677
"Aethomys_ineptus",83.762825012207,0.00119950344965746,-27.2219865636513,10,7755135.5,592259.543605911
"Aethomys_kaiseri",71.1334686279297,0.0972470325798029,-7.28124174818984,7,148075840,1693329.17536045
"Aethomys_namaquensis",NA,NA,NA,NA,NA,NA
"Aethomys_nyikae",43.8815574645996,0.104345644211198,-10.6497879110382,7,39464376,897965.405906151
"Aethomys_silindensis",63.504451751709,0.0266420806992048,-19.5118175439939,7,870.067321777344,19129.1179453283
"Aethomys_stannarius",153.887283325195,0.0438361643748395,10.2491977167523,7,1594555.125,170085.391252653
"Alcelaphus_buselaphus",46.8835372924805,0.110245450855573,10.1255409374921,7,23141662,6759382.24427713
"Allactaga_tetradactyla",114.254272460938,0.00607840370513351,31.4414375166237,13,24440362,103462.202133774
"Allenopithecus_nigroviridis",19.9314270019531,0.0642694065533934,-0.142016297412624,1,25097892,506344.525337984
"Allochrocebus_lhoesti",31.634407043457,0.152925761584912,-0.728749861740842,1,2555552,216021.548176209
"Allochrocebus_solatus",4.34408330917358,0,-0.937348859218834,1,420.152557373047,18941.8542888176
"Amblysomus_hottentotus",86.3003997802734,0.00140830955194257,-30.3889605702232,10,13684785,212483.168634476
"Amblysomus_marleyi",63.6256561279297,0,-27.2235310737458,1,13322868,1402.68275589594
"Amblysomus_robustus",50.3561477661133,0,-25.5005277262491,10,1200.60693359375,1734.94754040491
"Amblysomus_septentrionalis",50.0602073669434,0.0050290128132482,-26.4259859906944,10,3778439,32675.8525956441
"Ammodillus_imbellis",12.4059772491455,0,6.29949500413399,7,637.933898925781,210235.628104393
"Ammodorcas_clarkei",9.31283378601074,0,6.75231062673605,7,704.586547851562,83716.8585400699
"Ammotragus_lervia",10.1083679199219,0.0274983836145871,23.9837873459138,13,613947.9375,1416968.0144311
"Anomalurus_beecrofti",79.6436538696289,0.0540995501181805,1.80135044596255,1,15267721,3245229.51098554
"Anomalurus_derbianus",82.3247909545898,0.0698691368148118,-4.11059427099631,7,54468124,5752726.98106305
"Aonyx_capensis",71.7667236328125,0.0754082990135595,-3.38619264502051,7,35153988,11817071.1321756
"Aonyx_congicus",44.9904365539551,0.0514535438889958,-1.26244620676768,1,11719499,2924429.88642859
"Arvicanthis_abyssinicus",179.705093383789,0.00643626777581067,11.2513529020044,10,23107098,296092.651142263
"Arvicanthis_ansorgei",74.0254669189453,0.0416045223569476,12.0738550364615,7,9368741,651275.416887978
"Arvicanthis_blicki",168.88948059082,0.217960367650156,6.81915082541466,10,685041.9375,17893.747237362
"Arvicanthis_nairobae",137.083435058594,0.16194617111478,-2.18916066204297,7,5674449,151138.901292631
"Arvicanthis_neumanni",42.2265167236328,0.0707465896576656,6.71533558438779,7,8941337,1218452.18100576
"Arvicanthis_niloticus",86.6648559570312,0.0791044492119607,10.5654415500514,7,52558704,6185272.89564571
"Arvicanthis_rufinus",134.091369628906,0.0582863577173135,8.10674422276725,7,24153794,1154420.16953922
"Asellia_patrizii",113.284721374512,0.0579710296367525,11.9347811891671,10,34402748,227342.451361947
"Atelerix_albiventris",74.3379287719727,0.0724218043366777,7.06497207117446,7,33722600,7028364.29389668
"Atelerix_algirus",136.823577880859,0.0110957900499031,34.0857922627332,12,18367430,664641.854663036
"Atelerix_frontalis",34.8957862854004,0.0538713844073932,-25.1380976447837,7,5653075,1047880.24830228
"Atelerix_sclateri",18.2320289611816,0,7.89568830470542,7,13595194,309001.28398156
"Atherurus_africanus",100.81209564209,0.0575035698385023,1.53104008676405,1,30954990,3544244.60580821
"Atilax_paludinosus",72.4272384643555,0.0705512662411504,-3.07787893683024,7,34393728,14049574.2885042
