Order	Family	Genus	Species	Red_List_status	Population_trend	IUCN.NUM	POP.NUM	Suit0k	Suit21k	Range0k	Range21k	DeltaRange	LogDR	DeltaSuit	LogDS	AdultBodyMass_g	LogBMg	GroupBMg
PRIMATES	LEPILEMURIDAE	Lepilemur	Lepilemur_petteri	VU	decreasing	1	1	0.863547826	0.898607654	10	19	-0.473684211	-0.641853886	-0.039015724	-0.039797232	726.98875	6.588911003	7
PRIMATES	LEPILEMURIDAE	Lepilemur	Lepilemur_randrianasoloi	EN	decreasing	1	1	0.912776456	0.807892137	20	8	1.5	0.916290732	0.129824656	0.122062449	726.98875	6.588911003	7
PRIMATES	LEPILEMURIDAE	Lepilemur	Lepilemur_ruficaudatus	VU	decreasing	1	1	0.976651195	0.850209112	12	5	1.4	0.875468737	0.148718805	0.138647239	763.36	6.637729742	7
PRIMATES	LEPILEMURIDAE	Lepilemur	Lepilemur_sahamalazensis	CR	NA	1	NA	0.694588862	0.938720941	4	46	-0.913043478	-2.442347035	-0.260068853	-0.301198142	726.98875	6.588911003	7
PRIMATES	LEPILEMURIDAE	Lepilemur	Lepilemur_seali	VU	decreasing	1	1	0.90591682	0.889856972	30	27	0.111111111	0.105360516	0.018047673	0.017886747	726.98875	6.588911003	7
PRIMATES	LEPILEMURIDAE	Lepilemur	Lepilemur_wrightae	EN	decreasing	1	1	0.680773995	0.877603106	7	85	-0.917647059	-2.496741107	-0.224280326	-0.253964069	726.98875	6.588911003	7
CARNIVORA	FELIDAE	Leptailurus	Leptailurus_serval	LC	stable	0	0	0.771752973	0.7692903	5118	5495	-0.068607825	-0.07107485	0.003201227	0.003196114	11999.96	9.392658595	9
LAGOMORPHA	LEPORIDAE	Lepus	Lepus_capensis	LC	decreasing	0	1	0.616456122	0.689559425	3821	4882	-0.217328964	-0.245042804	-0.106014509	-0.112065733	2047.11	7.624184321	8
LAGOMORPHA	LEPORIDAE	Lepus	Lepus_fagani	DD	unknown	NA	NA	0.916646162	0.843876971	101	67	0.507462687	0.410427897	0.08623199	0.082714818	2525.157742	7.834058812	8
LAGOMORPHA	LEPORIDAE	Lepus	Lepus_habessinicus	LC	unknown	0	NA	0.891677056	0.701180957	533	381	0.398950131	0.335722049	0.271678939	0.240338027	2015.56	7.608652351	8
LAGOMORPHA	LEPORIDAE	Lepus	Lepus_microtis	LC	unknown	0	NA	0.739676883	0.675284167	4804	4916	-0.02278275	-0.023046287	0.095356472	0.091079856	1763.61	7.475118124	7
LAGOMORPHA	LEPORIDAE	Lepus	Lepus_saxatilis	LC	decreasing	0	1	0.921974613	0.904979097	565	514	0.09922179	0.094602466	0.01878001	0.018605842	2593.63	7.860813718	8
LAGOMORPHA	LEPORIDAE	Lepus	Lepus_starcki	LC	unknown	0	NA	0.881015819	0.86128857	36	9	3	1.386294361	0.022904342	0.022645976	2760.67	7.923228683	8
CARNIVORA	HERPESTIDAE	Liberiictis	Liberiictis_kuhni	VU	decreasing	1	1	0.962790269	0.690643304	38	3	11.66666667	2.538973871	0.39404851	0.332212111	1825.47	7.509592767	8
AFROSORICIDA	TENRECIDAE	Limnogale	Limnogale_mergulus	VU	decreasing	1	1	0.885174399	0.907356462	36	36	0	0	-0.024446911	-0.024750698	76.86	4.341985585	4
CHIROPTERA	PTEROPODIDAE	Lissonycteris	Lissonycteris_angolensis	LC	decreasing	0	1	0.8325901	0.792937875	3418	3660	-0.066120219	-0.068407563	0.050006724	0.048796568	68.31	4.224056169	4
